rownames,dissection,processing,gc
Or47B_V_MAL_GH_R1,cd,2,
Or47B_V_MAL_GH_R2,cd,2,
Or47B_V_MAL_GH_R3,ac,1,
Or47B_V_MAL_SH_R1,cd,2,
Or47B_V_MAL_SH_R2,cd,2,
Or47B_V_MAL_SH_R3,ac,1,
Or67D_V_MAL_GH_R1,cd,2,
Or67D_V_MAL_GH_R2,cd,1,
Or67D_V_MAL_GH_R3,cd,1,
Or67D_V_MAL_SH_R1,cd,2,
Or67D_V_MAL_SH_R2,cd,1,
Or67D_V_MAL_SH_R3,cd,1,
CS_M_FEM_GH_R1,cd,3,
CS_M_FEM_GH_R2,ac,3,
CS_M_FEM_GH_R3,pv,3,
CS_M_MAL_GH_R1,cd,3,
CS_M_MAL_GH_R2,ac,3,
CS_M_MAL_GH_R3,pv,3,
CS_V_FEM_GH_R1,cd,3,
CS_V_FEM_GH_R2,ac,3,
CS_V_FEM_GH_R3,ac,3,
CS_V_FEM_SH_R1,cd,3,
CS_V_FEM_SH_R2,ac,3,
CS_V_FEM_SH_R3,pv,3,
CS_V_MAL_GH_R1,cd,1,
CS_V_MAL_GH_R2,cd,1,
CS_V_MAL_GH_R3,ac,1,
CS_V_MAL_SH_R1,cd,2,
CS_V_MAL_SH_R2,ac,2,
CS_V_MAL_SH_R3,pv,1,
FRU_V_MAL_GH_R1,cd,2,
FRU_V_MAL_GH_R2,cd,1,
FRU_V_MAL_GH_R3,ac,1,
FRU_V_MAL_SH_R1,cd,2,
FRU_V_MAL_SH_R2,cd,1,
FRU_V_MAL_SH_R3,ac,1,